Code_Pays,Pays,Annee,Credit_Secteur_Prive_pct_PIB,Croissance_PIB_pct,Inflation_pct,PIB_USD,Reserves_Change_USD,Solde_Courant_pct_PIB
CAF,Rép. Centrafricaine,1975,16.4260215083385,0.404987104042064,,378660016.265936,3828943.42404235,
CAF,Rép. Centrafricaine,1976,11.1703648680207,5.43251898691292,,451152461.31276,18828693.5356935,
CAF,Rép. Centrafricaine,1977,11.8179115603808,3.80623491408234,,507298147.526539,26274569.6377115,-3.72453972164224
CAF,Rép. Centrafricaine,1978,13.2369824716086,1.2092354194359,,610578631.992983,26054787.534211,-3.76467968028553
CAF,Rép. Centrafricaine,1979,10.4784513760129,-2.46513778468636,,700764747.756462,49946033.1867309,-2.27681587236379
CAF,Rép. Centrafricaine,1980,13.9358679184252,-4.47863884794948,,797048198.534875,61698156.5106728,-5.40142552999241
CAF,Rép. Centrafricaine,1981,12.9396187810738,-1.54446566470149,-0.0333333333334091,694803622.898966,73805739.525873,-0.601662089101606
CAF,Rép. Centrafricaine,1982,12.3407823741894,7.71578363090393,13.2960986995663,748312390.756606,51578531.9311706,-5.69851584517804
CAF,Rép. Centrafricaine,1983,12.2876336242856,-8.12651359274568,14.6126112868811,658679332.681331,51141020.7951517,-4.44979508270463
CAF,Rép. Centrafricaine,1984,10.9863655196008,9.48172665292533,2.54220966810047,637820670.299604,56097886.8305507,-5.24384586849353
CAF,Rép. Centrafricaine,1985,9.01620146958525,3.92721953798056,10.4238402303886,864849836.286193,53253226.2512816,-5.6213002425937
CAF,Rép. Centrafricaine,1986,8.22597369849761,3.57797925430461,2.24515251162269,1122265013.42004,69693551.8505149,-7.70920034153731
CAF,Rép. Centrafricaine,1987,8.16114500390644,-4.93898788502545,-6.98680270599974,1200991977.80801,102100340.807346,-6.1139013050671
CAF,Rép. Centrafricaine,1988,7.30939513945661,1.71016528472386,-3.96446882079366,1264899287.51261,113027529.27375,-2.7360567863432
CAF,Rép. Centrafricaine,1989,7.53974504234898,1.97727043451945,0.689055807312738,1233930280.91724,117515572.061587,-2.7088700983338
CAF,Rép. Centrafricaine,1990,7.28531185070936,-2.14752806574087,-0.0123304562272102,1440711459.16967,122909404.284403,-6.18666446397518
CAF,Rép. Centrafricaine,1991,6.77283454333487,-0.552543005101867,-2.76236280675762,1377374986.58709,106910593.975109,-4.48468346818164
CAF,Rép. Centrafricaine,1992,4.50761660374127,-6.42407819946331,-1.03360811667777,1411917553.12436,103830263.763413,-5.88243164608966
CAF,Rép. Centrafricaine,1993,4.39930075144365,0.335275684646064,-2.91535849298335,1278781261.55928,116326746.95329,-1.01269528104564
CAF,Rép. Centrafricaine,1994,3.956823875948,4.89994941000114,24.5710137275605,851174356.781737,214276441.951393,-2.89900460634816
CAF,Rép. Centrafricaine,1995,4.15971405221421,7.20004555751903,19.1894039735098,1115389673.69197,237946017.450278,
CAF,Rép. Centrafricaine,1996,4.50888198348133,-4.00009296364789,3.72494110325802,1007791127.09913,236343697.896851,
CAF,Rép. Centrafricaine,1997,4.41670579594432,5.29993601826074,1.61131347760911,937741513.015352,181786252.890698,
CAF,Rép. Centrafricaine,1998,4.8979906533049,4.70014237879329,-1.8852009615791,967338389.650578,148903855.747506,
CAF,Rép. Centrafricaine,1999,4.5126778832824,3.59997490432274,-1.41420220082551,999477510.686632,139507412.455047,
CAF,Rép. Centrafricaine,2000,4.74625702323689,-2.48943244028874,3.20340091563112,916777282.691659,136311955.642756,
CAF,Rép. Centrafricaine,2001,6.10947913877305,4.46473902640867,3.83486060237362,932648604.751954,121827806.687419,
CAF,Rép. Centrafricaine,2002,5.84049758043086,3.61654219150596,2.33181703516235,996068144.884889,127052247.633007,
CAF,Rép. Centrafricaine,2003,6.18348471191079,-5.39748521855877,4.13470905150996,1142315522.53864,137053605.720033,
CAF,Rép. Centrafricaine,2004,7.16059184539562,5.99488422798696,-2.06640601136303,1272360517.32373,153195695.517303,
CAF,Rép. Centrafricaine,2005,6.89890787847171,0.908210514871953,2.88352073359022,1337894378.73743,144923649.427183,
CAF,Rép. Centrafricaine,2006,6.70566037241739,4.77108543044105,6.69526465773354,1461859762.33459,132419817.11154,
CAF,Rép. Centrafricaine,2007,6.78526082643897,4.60753485452025,0.95991761945711,1699811294.94935,91867874.1209709,
CAF,Rép. Centrafricaine,2008,7.02011112860774,2.05413096200485,9.25895099417076,1993407888.49838,131466500.98142,
CAF,Rép. Centrafricaine,2009,6.96252915838712,8.58726042640994,3.52126227238643,2067381665.25454,210590013.326623,
CAF,Rép. Centrafricaine,2010,8.30898124968165,4.63081843223307,1.49102370047802,2142591540.40068,181175454.945794,
CAF,Rép. Centrafricaine,2011,9.18046542071693,4.19461533741989,1.1944757244985,2437982705.12093,154510967.212474,
CAF,Rép. Centrafricaine,2012,10.7719414058324,5.05376125356918,5.47829594346117,2510126512.22831,157902473.531176,
CAF,Rép. Centrafricaine,2013,13.5768259854235,-36.3919770983887,6.98879341970198,1691544110.18543,193663724.475369,
CAF,Rép. Centrafricaine,2014,12.7910233032414,0.0810705153264877,14.898684179755,1894813389.40325,259571697.529109,
CAF,Rép. Centrafricaine,2015,11.7154335961189,4.33712103020231,1.40297017136816,1695825714.19282,213800567.288047,
CAF,Rép. Centrafricaine,2016,12.3148432385651,4.75031684122342,4.94543276106518,1825018144.65595,239797985.500412,
CAF,Rép. Centrafricaine,2017,11.2150177342096,4.52727821346231,4.18072331871267,2072349972.6818,362717270.49893,
CAF,Rép. Centrafricaine,2018,12.3443319944716,3.78944359275462,1.61215686991555,2220979146.11241,361797180.317652,
CAF,Rép. Centrafricaine,2019,11.7050145625006,3.09999999999999,2.68537355266787,2221301351.43918,350305401.8215,
CAF,Rép. Centrafricaine,2020,11.7039071336529,0.899999996857062,1.71015659523153,2326720900.38047,432524260.923722,
CAF,Rép. Centrafricaine,2021,11.7946888020579,0.982919996264229,4.25936417542868,2516498412.46384,483872115.778418,
CAF,Rép. Centrafricaine,2022,13.0385826544527,0.453901876447787,5.58316735183247,2382618615.01694,374404781.268039,
CAF,Rép. Centrafricaine,2023,,0.69996840076054,2.97913852618937,2555492085.94725,479592712.605639,
CAF,Rép. Centrafricaine,2024,,1.49999999847535,1.47733600718744,2751494281.06887,489286576.286085,
CAF,Rép. Centrafricaine,2025,,4.49950000393781,1.00198012768088,3066109226.40165,,
CMR,Cameroun,1975,18.7465305689637,11.2450587758471,13.5533294051262,2857037371.05886,28827890.0770217,
CMR,Cameroun,1976,20.8064970652357,-5.49513839744186,9.93065056369725,2898090001.8562,43803725.9182906,
CMR,Cameroun,1977,24.5311752099628,13.7398715230551,14.6983091581554,3394664024.05503,44862720.5208037,-2.72189798307732
